Country,Code,Year,Health_Expenditure,Life_Expectancy
Australia,AUS,1971,982.3137,71.06829268
Australia,AUS,1972,989.9003,71.45756098
Australia,AUS,1973,1007.0003,71.84682927
Australia,AUS,1974,1138.423,72.23609756
Australia,AUS,1975,1299.7468,72.62536585
Australia,AUS,1976,1337.0718,73.01463415
Australia,AUS,1977,1403.1552,73.34439024
Australia,AUS,1978,1410.1761,73.67414634
Australia,AUS,1979,1410.7119,74.00390244
Australia,AUS,1980,1440.4453,74.33365854
Australia,AUS,1981,1467.8877,74.66341463
Australia,AUS,1982,1475.0446,74.90487805
Australia,AUS,1983,1508.2358,75.14634146
Australia,AUS,1984,1561.121,75.38780488
Australia,AUS,1985,1617.1644,75.62926829
Australia,AUS,1986,1688.0412,75.87073171
Australia,AUS,1987,1712.2838,76.15170732
Australia,AUS,1988,1736.7152,76.43268293
Australia,AUS,1989,1783.3481,76.71365854
Australia,AUS,1990,1853.1596,76.99463415
Australia,AUS,1991,1920.2033,77.27560976
Australia,AUS,1992,1994.4415,77.37804878
Australia,AUS,1993,2060.3732,77.87804878
Australia,AUS,1994,2129.3472,77.87804878
Australia,AUS,1995,2202.176,77.82926829
Australia,AUS,1996,2307.517,78.07804878
Australia,AUS,1997,2392.0429,78.4804878
Australia,AUS,1998,2543.6197,78.63170732
Australia,AUS,1999,2646.7086,78.93170732
Australia,AUS,2000,2767.6725,79.23414634
Australia,AUS,2001,2872.3738,79.63414634
Australia,AUS,2002,2999.5093,79.93658537
Australia,AUS,2003,3090.6573,80.23902439
Australia,AUS,2004,3240.3186,80.4902439
Australia,AUS,2005,3242.9106,80.84146341
Australia,AUS,2006,3323.2565,81.04146341
Australia,AUS,2007,3415.193,81.29268293
Australia,AUS,2008,3494.4375,81.39512195
Australia,AUS,2009,3629.7041,81.54390244
Australia,AUS,2010,3607.3407,81.69512195
Australia,AUS,2011,3738.1767,81.89512195
Australia,AUS,2012,3831.3635,82.04634146
Australia,AUS,2013,3901.7343,82.19756098
Austria,AUT,1970,849.863,69.91463415
Austria,AUT,1971,876.7198,70.11463415
Austria,AUT,1972,924.9049,70.46341463
Austria,AUT,1973,983.3833,71.01463415
Austria,AUT,1974,1068.3942,71.01219512
Austria,AUT,1975,1365.5542,71.11463415
Austria,AUT,1976,1481.9085,71.56585366
Austria,AUT,1977,1543.0276,71.91463415
Austria,AUT,1978,1602.6562,72.01219512
Austria,AUT,1979,1685.3273,72.31219512
Austria,AUT,1980,1738.9518,72.46341463
Austria,AUT,1981,1485.8219,72.81219512
Austria,AUT,1982,1508.3548,72.96097561
Austria,AUT,1983,1512.4136,73.01219512
Austria,AUT,1984,1525.3671,73.61219512
Austria,AUT,1985,1597.0039,73.81463415
Austria,AUT,1986,1661.8794,74.31707317
Austria,AUT,1987,1763.1259,74.76829268
Austria,AUT,1988,1816.3715,75.21707317
Austria,AUT,1989,1920.5468,75.26585366
Austria,AUT,1990,2347.0307,75.56829268
Austria,AUT,1991,2423.6339,75.61707317
Austria,AUT,1992,2540.0944,75.81707317
Austria,AUT,1993,2696.6659,76.06829268
Austria,AUT,1994,2875.3106,76.4195122
